scan_date,ticker,price,market_cap,float_shares,rel_volume,dollar_volume,vol_expansion_score,compression_score,breakout_score,trend_score,news_score,short_interest_score,premarket_gap_score,social_score,insider_score,total_score,reason,repeat_count_30d,scan_time_utc,event_intel_score,sec_insider_score,anomaly_score,anomaly_label,anomaly_flags,baseline_sample_size,event_tags,event_intel_reason
2026-03-18,BCAR,10.11,416532000,25099864,2.9,4467780.72,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,16.78,"unusual volume, multi-day volume expansion, tight consolidation, near breakout, elevated news flow, retail attention",1,,,,,,,,,
2026-03-18,IAUX,1.45,1213947776,701107358,2.0,24004842.29,2.6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.81,"multi-day volume expansion, retail attention",1,,,,,,,,,
