scan_time_utc,ticker,price,market_score,event_score,alignment_bonus,final_score,confidence_label,event_bias,signal_count,days_since_latest_event,event_tags,market_reason,event_reason,merged_reason,market_cap,float_shares,rel_volume,news_score,short_interest_score,compression_score,breakout_score,trend_score,premarket_gap_score,repeat_count_30d,company_name,sec_insider_score,congressional_score,procurement_score,ownership_score,base_weighted_score,scan_date,dollar_volume,vol_expansion_score,social_score,insider_score,total_score,reason,scan_time_utc_x,event_intel_score_x,sec_insider_score_x,event_tags_x,event_intel_reason_x,anomaly_score_x,anomaly_label_x,anomaly_flags_x,baseline_sample_size_x,scan_time_utc_y,event_intel_score_y,sec_insider_score_y,anomaly_score_y,anomaly_label_y,anomaly_flags_y,baseline_sample_size_y,event_tags_y,event_intel_reason_y,event_intel_score,anomaly_score,anomaly_label,anomaly_flags,baseline_sample_size,event_intel_reason
2026-03-17T03:39:33Z,BRCB,16.2,,,,,,,,,"administrative, form4, insider, parsed",,,,283150944,16568349.0,2.2,0.5,0.0,0.0,0.0,1.0,0.0,3,,3.75,,,,,2026-03-16,23710207.72,3.0,0.0,0.0,10.24,"unusual volume, multi-day volume expansion",,,,,,,,,,,,,,,,,,,1.5,0.0,Baseline Building,,2.0,"recent insider filings, latest event 5 day(s) ago, recent insider filing activity for brcb"
2026-03-17T03:40:36Z,HNRG,15.97,,,,,,,,,"buy, form4, insider, parsed",,,,750900672,35935825.0,3.18,0.5,1.0,0.0,0.0,0.0,0.0,2,,7.7,,,,,2026-03-16,28911481.62,3.0,0.0,0.0,10.22,"unusual volume, multi-day volume expansion, short squeeze potential",,,,,,,,,,,,,,,,,,,3.08,0.0,Baseline Building,,1.0,"meaningful insider filing activity, latest event 6 day(s) ago, insider accumulation detected for hnrg"
2026-03-17T03:38:55Z,ARIS,19.0,,,,,,,,,,,,,3886243584,187913122.0,2.34,3.0,0.0,0.0,0.0,1.0,0.0,2,,0.0,,,,,2026-03-16,62806761.0,3.0,0.0,0.0,10.01,"unusual volume, multi-day volume expansion, elevated news flow",,,,,,,,,,,,,,,,,,,0.0,0.0,Baseline Building,,1.0,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set
2026-03-17T03:38:54Z,ALOY,11.25,,,,,,,,,"form4, insider, unparsed",,,,642500608,53935198.0,1.71,3.0,0.0,0.0,0.0,1.0,1.0,7,,1.95,,,,,2026-03-16,23408583.75,1.8,0.0,0.0,10.01,"multi-day volume expansion, elevated news flow, gap strength",,,,,,,,,,,,,,,,,,,0.78,0.0,Within Baseline,,4.0,"recent insider filings, latest event 12 day(s) ago, recent form 4 filing for aloy"
2026-03-17T03:39:18Z,BMBL,3.87,,,,,,,,,"form4, insider, parsed, sell, tax_withholding",,,,615131392,68367169.0,1.53,1.0,1.5,0.0,0.0,2.0,0.0,7,,7.96,,,,,2026-03-16,31909592.57,1.47,0.0,0.0,9.5,"trend improving, elevated news flow, short squeeze potential",,,,,,,,,,,,,,,,,,,3.18,0.0,Within Baseline,,4.0,"meaningful insider filing activity, latest event 5 day(s) ago, insider selling detected for bmbl"
2026-03-17T03:40:17Z,FINV,5.49,,,,,,,,,,,,,1426549248,603949278.0,2.41,0.0,0.0,1.0,0.0,2.0,0.0,2,,0.0,,,,,2026-03-16,12346619.7,3.0,0.0,0.0,9.49,"unusual volume, multi-day volume expansion, trend improving",,,,,,,,,,,,,,,,,,,0.0,0.0,Baseline Building,,1.0,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set
2026-03-17T03:40:29Z,GRNT,5.28,,,,,,,,,"buy, form4, insider, open_market_buy, parsed, sell, tax_withholding",,,,693006784,63509386.0,1.53,1.0,1.0,0.0,2.0,3.0,0.0,2,,9.6,,,,,2026-03-16,6298966.33,0.15,0.0,0.0,9.01,"near breakout, trend improving, elevated news flow, short squeeze potential",,,,,,,,,,,,,,,,,,,3.84,0.0,Baseline Building,,1.0,"meaningful insider filing activity, latest event 1 day(s) ago, insider accumulation detected for grnt"
2026-03-17T03:38:48Z,ALM,19.29,,,,,,,,,,,,,4947670528,167120051.0,1.72,3.0,0.0,0.0,0.0,3.0,1.0,2,,0.0,,,,,2026-03-16,162193375.52,0.75,0.0,0.0,8.77,"trend improving, elevated news flow, gap strength",,,,,,,,,,,,,,,,,,,0.0,0.0,Baseline Building,,1.0,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set
2026-03-17T03:39:39Z,CION,6.69,,,,,,,,,,,,,348460736,,1.93,1.0,0.0,0.0,0.0,0.0,0.0,7,,0.0,,,,,2026-03-16,8760060.01,3.0,0.0,0.0,8.72,"multi-day volume expansion, elevated news flow",,,,,,,,,,,,,,,,,,,0.0,0.0,Within Baseline,,4.0,"no event-intel signals; SEC=recent Form 4 filings found, but no actionable transactions parsed; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set"
2026-03-17T03:40:32Z,HIMX,9.56,,,,,,,,,,,,,1672172288,247496277.0,1.63,1.0,0.0,0.0,0.0,2.0,0.0,2,,0.0,,,,,2026-03-16,59232653.64,3.0,0.0,0.0,8.36,"multi-day volume expansion, trend improving, elevated news flow",,,,,,,,,,,,,,,,,,,0.0,0.0,Baseline Building,,1.0,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set
2026-03-17T03:39:07Z,BLDP,2.53,,,,,,,,,,,,,760868800,300648652.0,1.9,0.5,1.0,0.0,1.0,2.0,0.0,2,,0.0,,,,,2026-03-16,15991854.05,1.0,0.0,0.0,8.08,"trend improving, short squeeze potential",,,,,,,,,,,,,,,,,,,0.0,0.0,Baseline Building,,1.0,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set
