scan_date,ticker,price,market_cap,float_shares,rel_volume,dollar_volume,vol_expansion_score,compression_score,breakout_score,trend_score,news_score,short_interest_score,premarket_gap_score,social_score,insider_score,total_score,reason,repeat_count_30d,scan_time_utc,event_intel_score,sec_insider_score,event_tags,event_intel_reason,anomaly_score,anomaly_label,anomaly_flags,baseline_sample_size
2026-03-16,CMCO,14.5,416720800,27761219.0,1.77,12464707.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.12,multi-day volume expansion,2,2026-03-17T00:53:13Z,2.92,7.3,"buy, form4, insider, open_market_sale, parsed, sell, tax_withholding, unparsed","meaningful insider filing activity, latest event 14 day(s) ago, insider selling detected for cmco",0.0,No Baseline,,0.0
2026-03-16,BGY,5.59,506534816,,1.64,2874713.48,2.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78,multi-day volume expansion,2,2026-03-17T00:52:01Z,2.42,6.06,"buy, form4, insider, option_exercise, parsed, sell","meaningful insider filing activity, latest event 42 day(s) ago, insider selling detected for bgy",0.0,No Baseline,,0.0
2026-03-16,GRPN,10.29,419366944,29022811.0,1.64,22815512.71,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.37,short squeeze potential,2,2026-03-17T00:53:38Z,3.58,8.96,"administrative, form4, insider, option_exercise, parsed, sell, tax_withholding","meaningful insider filing activity, latest event 1 day(s) ago, insider selling detected for grpn",0.0,No Baseline,,0.0
2026-03-16,BBAR,12.87,2737519104,161363326.0,1.69,15039701.69,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44,multi-day volume expansion,2,2026-03-17T00:51:50Z,0.0,0.0,,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set,0.0,No Baseline,,0.0
2026-03-16,BWLP,14.29,2169430784,80530964.0,1.5,8716171.19,1.22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.47,mixed setup,2,2026-03-17T00:52:37Z,0.0,0.0,,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set,0.0,No Baseline,,0.0
2026-03-16,BLND,1.47,381827968,219316192.0,1.56,8529591.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,mixed setup,7,2026-03-17T00:52:10Z,2.99,7.47,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding","meaningful insider filing activity, latest event 19 day(s) ago, insider selling detected for blnd",0.0,Within Baseline,,3.0
2026-03-17,AGRO,12.45,1761446528,19962240.0,3.56,46537156.57,2.02,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,15.39,"unusual volume, multi-day volume expansion, trend improving, elevated news flow, gap strength, retail attention",3,2026-03-17T03:38:48Z,0.0,0.0,,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set,0.0,Baseline Building,,1.0
2026-03-17,TRON,1.9,521325952,28802067.0,2.76,3142054.66,3.0,0.0,0.0,2.0,3.0,2.5,0.0,1.0,0.0,14.91,"unusual volume, multi-day volume expansion, trend improving, elevated news flow, short squeeze potential, retail attention",1,,,,,,,,,
2026-03-17,NFE,1.19,338617856,128541041.0,6.64,70248389.21,3.0,0.0,0.0,1.0,1.5,2.5,0.0,1.0,0.0,14.6,"unusual volume, multi-day volume expansion, elevated news flow, short squeeze potential, retail attention",1,,,,,,,,,
2026-03-17,TOI,3.61,356809312,80221803.0,1.53,11653812.49,3.0,0.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,14.54,"multi-day volume expansion, near breakout, trend improving, elevated news flow, short squeeze potential, retail attention",1,,,,,,,,,
2026-03-17,TALK,5.14,857541760,128503172.0,1.67,50851409.17,3.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,14.31,"multi-day volume expansion, near breakout, trend improving, elevated news flow, retail attention",1,,,,,,,,,
